National Provider Identifier,Organization Name,Credentials,Gender,Entity Code,City,Zip Code,State Code,Country Code,Provider Type,Medicare Participation,Place of Service,HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Number of Services,Number of Medicare Beneficiaries,Number of Medicare Beneficiary/Day Services,Average Medicare Allowed Amount,Standard Deviation of Medicare Allowed Amount,Average Submitted Charge Amount,Standard Deviation of Submitted Charge Amount,Average Medicare Payment Amount
1881627594,BATTLES,MD,F,I,MINNEAPOLIS,554061911,MN,US,Internal Medicine,Y,O,Q2037,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)",Y,25,25,25,13.89,0.2,17,0,13.89
1447349766,ODIERNA,MD,F,I,RYE,10580,NY,US,Internal Medicine,Y,O,G0009,Administration of pneumococcal vaccine,N,15,15,15,10,0,10,0,10
1417970518,PIDIKITI,MD,F,I,CORINTH,388349302,MS,US,Cardiology,Y,F,93010,Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,N,"2,580","1,630","2,333",8.11,0,27,0,6.25
1730230814,FISHER,PA-C,M,I,EAGLE RIVER,995777721,AK,US,Physician Assistant,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,183,169,183,87.64,0,150.08,0.38,59.7
1477651073,BUCKMAN,MD,M,I,OVERLAND PARK,662152310,KS,US,Internal Medicine,Y,O,71020,"X-ray of chest, 2 views, front and side",N,40,36,40,28.53,0,93,0,19.4
1578691465,HAGBERG,MD,F,I,COS COB,68072152,CT,US,Obstetrics/Gynecology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,18,17,18,106.07,0,121.98,0,73.16
1902856834,TRIVEDI,MD,M,I,TOMS RIVER,87536407,NJ,US,Dermatology,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,"1,108",703,"1,108",46.23,0.51,85,0,32.88
1063466852,SHOPKO STORES OPERATING CO LLC,O,O,O,WORTHINGTON,561871757,MN,US,Mass Immunization Roster Biller,Y,O,G0008,Administration of influenza virus vaccine,N,82,82,82,17.14,1.99,17.14,1.99,17.14
1174583744,AUSTIN,MD,F,I,NORMAL,617616286,IL,US,Diagnostic Radiology,Y,F,93880,Ultrasound scanning of head and neck vessel blood flow (outside the brain),N,27,27,27,29.36,0,171,0,23.49
1922001023,ANDERSEN,MD,M,I,PORTLAND,972256663,OR,US,Hematology/Oncology,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,319,90,319,3,0,18,0,2.98
1851328660,ROUSSEAU,MD,M,I,CINCINNATI,452451761,OH,US,Urology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,28,26,28,68.47,0,105.82,1.6,50.87
1104926500,GORMAN,MD,M,I,LA QUINTA,92253,CA,US,Internal Medicine,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,365,252,365,108.06,0,151,0,84.35
1477867505,HUANG,MD,F,I,SAN FRANCISCO,941171019,CA,US,Physical Medicine and Rehabilitation,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,398,221,398,78.97,0,105,0,63.18
1164537627,DICKSTEIN,MD,M,I,WAUKEGAN,60046,IL,US,Diagnostic Radiology,Y,F,73510,X-ray of hip 2 or more views,N,40,40,40,12.35,0,33,0,9.2
1467417444,KAIBARA,MD,M,I,CHANDLER,852245602,AZ,US,Neurosurgery,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,17,15,17,42.02,0,150,0,31.64
1639272305,NORTH CAROLINA CVS PHARMACY LLC,O,O,O,LELAND,284517413,NC,US,Mass Immunization Roster Biller,Y,O,Q2038,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)",Y,71,71,71,12.55,0.62,12.55,0.62,12.55
1114000494,LIANG,MD,F,I,FLUSHING,113553628,NY,US,Internal Medicine,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,62,52,62,47.79,1.29,80.97,4.29,36.16
1609935840,FERRERO,MD,M,I,MIDDLETOWN,6457,CT,US,Psychiatry,Y,F,99231,"Subsequent hospital inpatient care, typically 15 minutes per day",N,30,15,30,40.3,0,76,0,32.24
1356330153,MCMILLAN,PA-C,M,I,OGDEN,844034303,UT,US,Physician Assistant,Y,O,20610,Aspiration or injection of large joint or joint capsule,N,29,26,28,65.72,14.67,225.21,76.96,49.11
1629085030,PESAVENTO,MD,M,I,COLUMBUS,432101240,OH,US,Nephrology,Y,F,99239,"Hospital discharge day management, more than 30 minutes",N,16,15,16,101.5,0,235,0,81.2
1891744470,WADDINGTON,MD,M,I,PHOENIX,850122368,AZ,US,Pulmonary Disease,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,14,14,14,194.33,0,225,0,155.46
1831236710,RINATO,MD,F,I,CORTLANDT MANOR,105674146,NY,US,Obstetrics/Gynecology,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,15,15,15,120.69,0,171.38,13.55,90.11
1588692990,ROUTHIER,MD,F,I,ST AUGUSTINE,320864197,FL,US,General Surgery,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,59,38,59,42.5,0,75,0,30.26
1134154016,ROSENTHAL,MD,M,I,LAWRENCEVILLE,300458708,GA,US,Plastic and Reconstructive Surgery,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,15,15,15,159.87,0,215,0,119.64
1184621377,COLLINS,MD,F,I,WILMINGTON,284053639,NC,US,Internal Medicine,Y,O,99205,"New patient office or other outpatient visit, typically 60 minutes",N,50,50,50,190.64,0,290,0,141.22
1336192442,JENSEN,MD,M,I,DILLON,295362503,SC,US,Family Practice,Y,O,85610,"Blood test, clotting time",N,43,24,43,5.56,0,18,0,5.43
1508066796,HAAR,MD,M,I,PHILADELPHIA,191044206,PA,US,Diagnostic Radiology,Y,F,71010,"X-ray of chest, 1 view, front",N,20,20,20,8.7,0,34,0,6.61
1669589453,BILLINGS,MD,M,I,RURAL HALL,27045,NC,US,General Practice,Y,O,90656,"Vaccine for influenza injection into muscle, patient 3 years and older",Y,24,24,24,12.4,0.01,26.67,2.36,12.4
1508801317,TABASSIAN,D.P.M.,F,I,INGLEWOOD,903013450,CA,US,Podiatry,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,118,36,118,76.19,0,115,0,60.75
1710998018,UPSHAW,MD,F,I,LUCEDALE,394526603,MS,US,Emergency Medicine,Y,F,99285,"Emergency department visit, problem with significant threat to life or function",N,155,151,155,161.87,0,1069.15,179.6,123.14
1518969187,MUSNI,MD,M,I,LAS VEGAS,891177150,NV,US,Family Practice,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,14,14,14,166.54,0,325,0,108.99
1871538116,GOLDMAN,MD,M,I,PALM BEACH GARDENS,334102823,FL,US,Ophthalmology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,"1,634","1,387","1,634",74.59,0,180.03,1.09,52.1
1649256694,HONAKER,MD,M,I,PLANO,750757738,TX,US,Emergency Medicine,Y,F,99283,"Emergency department visit, moderately severe problem",N,64,64,64,58.61,0,240,0,43.55
1104821412,DULA,MD,M,I,SALISBURY,281442503,NC,US,Diagnostic Radiology,Y,F,73630,"X-ray of foot, minimum of 3 views",N,103,88,89,7.92,0,43.95,0,5.7
1609801711,DONTA,MD PH D,M,I,CEDAR RAPIDS,524025321,IA,US,Diagnostic Radiology,Y,F,73510,X-ray of hip 2 or more views,N,81,78,81,10.33,0,30,0,7.65
1265620728,DHALIWAL,MD,M,I,FRESNO,937226386,CA,US,Family Practice,Y,O,73030,"X-ray of shoulder, minimum of 2 views",N,13,12,12,33.24,0,75,15.41,26.59
1932131505,RAKLA,MD,M,I,HUMBLE,773384282,TX,US,Pulmonary Disease,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,19,19,19,159.41,0.36,250,0,126.48
1285708347,TAN,MD,M,I,KENNEWICK,993366713,WA,US,Pulmonary Disease,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,233,95,233,98.84,0,215,0,79.07
1003880220,HOLTZ,DO,F,I,FRISCO,750334507,TX,US,Family Practice,Y,O,90656,"Vaccine for influenza injection into muscle, patient 3 years and older",Y,22,22,22,12.4,0.01,30,0,12.4
1528066347,FREILICH,MD,M,I,HIGHLAND PARK,600355613,IL,US,Internal Medicine,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,155,146,155,148.88,1.09,217.45,24.55,99.9
1831170208,BLACKWELL,MD,M,I,MERIDIAN,393013926,MS,US,Interventional Radiology,Y,O,72100,"X-ray of lower and sacral spine, 2 or 3 views",N,88,87,88,10.92,0,48,0,8.21
1871550079,JERNIGAN,MD,M,I,MECHANICSVILLE,231111706,VA,US,Family Practice,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,26,20,26,3,0,12,0,2.82
1912120080,WILLIAMS,O.D.,M,I,CORINTH,388346771,MS,US,Optometry,Y,O,92014,"Eye and medical examination for diagnosis and treatment, established patient, 1 or more visits",N,81,80,81,95,0,95,0,72.94
1386670743,MONGUE,MD,M,I,BELLINGHAM,982251851,WA,US,Emergency Medicine,Y,F,99284,"Emergency department visit, problem of high severity",N,53,52,53,113.91,0,402.94,9.96,87.69
1861621393,EBIE,O.D.,F,I,RIVERSIDE,925063819,CA,US,Optometry,Y,O,92014,"Eye and medical examination for diagnosis and treatment, established patient, 1 or more visits",N,148,140,148,125.22,0,169,0,85.44
1487766903,BROADBENT,DO,F,I,WINTERSET,502732104,IA,US,Family Practice,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,47,45,47,65.79,0,162.21,4.49,50.39
1316963598,ALLER,MD,M,I,CHARLOTTESVILLE,229024844,VA,US,Internal Medicine,Y,O,Q2038,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)",Y,55,55,55,12.51,0.61,25,0,12.51
1821204363,MUSSA,MD,M,I,NEW YORK,100166402,NY,US,Vascular Surgery,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,68,68,68,117.9,0,320,0,86.23
1770591166,BOUNEVA,MD,F,I,RICHMOND,232985051,VA,US,Gastroenterology,Y,O,99205,"New patient office or other outpatient visit, typically 60 minutes",N,36,36,36,195.09,0,513.94,8.02,148.79
1376607028,BURGER,MD,F,I,SOUTH BEND,466373437,IN,US,Internal Medicine,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,37,30,37,67.2,0,121,0,53.76
1932185691,HALEY,FNP,F,I,PIEDMONT,639579417,MO,US,Nurse Practitioner,Y,O,80061,"Blood test, lipids (cholesterol and triglycerides)",N,135,102,135,13.54,0.8,83,0,13.54
1003844960,HONG,MD PHD,M,I,RESTON,20190,VA,US,Internal Medicine,Y,O,G0439,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit",N,11,11,11,124.01,0,247.73,26.06,124.01
1205828084,JUNKER,MD,F,I,DECATUR,62656,IL,US,Family Practice,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,69,62,69,132.26,0,320,0,103.19
1851381719,KATZ,MD,M,I,ST PETERSBURG,337101655,FL,US,Diagnostic Radiology,Y,F,73630,"X-ray of foot, minimum of 3 views",N,39,37,37,8.29,0,26.19,4.84,5.61
1972600666,BLOOMER,MD,F,I,PIEDMONT,946113420,CA,US,Ophthalmology,Y,F,92014,"Eye and medical examination for diagnosis and treatment, established patient, 1 or more visits",N,77,67,77,88.34,2.05,485.4,31.54,62.82
1366525750,BUCK,MD,M,I,ORMOND BEACH,321747362,FL,US,Internal Medicine,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,687,318,687,69.94,0,81.07,8.39,50.09
1881702116,LEON,DO,M,I,WESTON,544765213,WI,US,Gastroenterology,Y,F,99221,"Initial hospital inpatient care, typically 30 minutes per day",N,22,21,22,94.52,0,312.48,14.05,75.62
1669447553,OATES,O.D.,M,I,KENTON,433261575,OH,US,Optometry,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,76,52,76,40.93,0.25,40.93,0.25,29.03
1245451889,ONGYIU,MD,F,I,KANSAS CITY,66160,KS,US,Pediatric Medicine,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,95,95,95,187.54,0,347,0,145.42
1750472155,LYNCH,MD,M,I,OMAHA,68131,NE,US,Cardiology,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,27,26,27,123.69,0.57,256,7.07,91.65
1063496644,BRYAN,MD,F,I,FORT WAYNE,468054788,IN,US,Internal Medicine,Y,F,99239,"Hospital discharge day management, more than 30 minutes",N,25,23,25,99.01,0,139,0,79.21
1083672968,WEBB,MD,M,I,SOUTHFIELD,480763713,MI,US,General Surgery,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,247,193,247,44.59,0,55,0,34.87
1912091695,CASTANEDA,MD,M,I,BOYNTON BEACH,33435,FL,US,Obstetrics/Gynecology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,115,92,115,110.03,0,210.46,15.67,76.48
1598803686,THAKUR,MD,M,I,BOSTON,21182371,MA,US,Cardiology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,230,39,230,74.89,0.07,150,0,51.87
1760449268,YOUNIS,MD,M,I,HOUSTON,77030,TX,US,Cardiology,Y,O,93970,Ultrasound scan of veins of arms or legs including assessment of compression and functional maneuvers,N,15,15,15,186.16,0,579,0,141
1700043320,AROUS,MD,F,I,LANCASTER,935344756,CA,US,Family Practice,Y,O,81002,"Urinalysis, manual test",N,72,53,71,3.62,0,3.84,0.85,3.58
1689758278,NEW JERSEY CVS PHARMACY LLC,O,O,O,WAYNE,7470,NJ,US,Mass Immunization Roster Biller,Y,O,Q2037,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)",Y,42,41,42,14,0.13,14,0.13,14
1477766426,KAKIMOTO,MD,M,I,LA JOLLA,920371027,CA,US,Diagnostic Radiology,Y,O,71260,CT scan chest with contrast,N,12,12,12,252.11,67.7,970,0,201.69
1942205786,BORNE,MD,F,I,BATON ROUGE,708066539,LA,US,Ophthalmology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,506,288,506,63.35,3.49,63.35,3.49,42.84
1760462964,WEIN,D.O,M,I,TAYLOR,481804372,MI,US,Family Practice,Y,O,83036,Hemoglobin A1C level,N,150,95,150,13.75,0,25,0,13.22
1265660914,HOLCOMB,PA-C,F,I,WICHITA FALLS,763094401,TX,US,Physician Assistant,Y,F,99283,"Emergency department visit, moderately severe problem",N,33,31,33,49.82,0,332,0,36.84
1932116324,DONOHUE,MD,M,I,NEW HAVEN,65114405,CT,US,Cardiology,Y,O,93000,Routine EKG using at least 12 leads including interpretation and report,N,15,15,15,20.58,0.08,66.8,31.6,16.46
1538398300,NASSIF,MD,M,I,ST LOUIS,63110,MO,US,Internal Medicine,Y,F,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,39,38,39,75.68,0,98.44,14.78,57.75
1871528745,HAMILTON,OD,M,I,ROUND ROCK,786815002,TX,US,Optometry,Y,O,92014,"Eye and medical examination for diagnosis and treatment, established patient, 1 or more visits",N,91,87,91,113.17,0,119,0,65.35
1558331959,BOLDING,MD,M,I,TULSA,741363310,OK,US,Family Practice,Y,O,81002,"Urinalysis, manual test",N,24,21,24,3.32,0,9,0,3.18
1548328594,HAGLER,MD,M,I,NEENAH,549562657,WI,US,Diagnostic Radiology,Y,F,93880,Ultrasound scanning of head and neck vessel blood flow (outside the brain),N,56,56,56,30.09,0,113,0,23.28
1184810392,HENRY,MD,M,I,MONROE,71203,LA,US,Family Practice,Y,O,99202,"New patient office or other outpatient visit, typically 20 minutes",N,46,46,46,66.49,0,137,0,39.94
1245239672,GARB,MD,M,I,HOUSTON,770815357,TX,US,Family Practice,Y,O,G0009,Administration of pneumococcal vaccine,N,14,14,14,24.23,0,50.93,20.93,24.23
1649580721,BURKE,ANP,M,I,CRAIG,99921,AK,US,Nurse Practitioner,Y,O,99202,"New patient office or other outpatient visit, typically 20 minutes",N,11,11,11,76.59,0,171.68,3.13,40.2
1700976313,MOSHIRFAR,MD,M,I,SALT LAKE CITY,841321000,UT,US,Ophthalmology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,33,26,33,65.8,0,66.04,0,50.88
1164433116,AGARWAL,MD,M,I,APOPKA,327034373,FL,US,Gastroenterology,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,191,191,191,161.11,0,257.12,0,128.89
1497756159,PARSEGHIAN,MD,M,I,TUCSON,857122805,AZ,US,Orthopedic Surgery,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,86,86,86,104.1,0,303,0,70.32
1699721944,RESTREPO,MD,M,I,COVINGTON,704338107,LA,US,Diagnostic Radiology,Y,O,73630,"X-ray of foot, minimum of 3 views",N,20,17,18,26.87,6.69,119.3,83.5,16.18
1700855467,FAMBROUGH,MD,M,I,HUNTSVILLE,35801,AL,US,Orthopedic Surgery,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,139,139,139,96.32,0,101,0,69.2
1760403000,TURMAN,NP,F,I,FARGO,581035800,ND,US,Nurse Practitioner,Y,F,G0101,Cervical or vaginal cancer screening; pelvic and clinical breast examination,N,11,11,11,22.73,0,29,0,22.73
1932206422,PENNSYLVANIA CVS PHARMACY LLC,O,O,O,ALIQUIPPA,150015157,PA,US,Mass Immunization Roster Biller,Y,O,G0008,Administration of influenza virus vaccine,N,31,30,31,17.36,1.2,17.36,1.2,17.36
1376609909,TAYLOR,MD,M,I,SPRINGFIELD,658042239,MO,US,Internal Medicine,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,464,275,464,65.29,0,96.1,2.23,42.85
1093821555,FRIEDMAN,MD,M,I,NEW ORLEANS,701153572,LA,US,Gastroenterology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,214,115,214,68.74,0,89.77,1.06,51.36
1346321957,CHANG,MD,F,I,SEATTLE,981042420,WA,US,Ophthalmology,Y,F,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,11,11,11,52.3,0,123.82,30.38,40.56
1245285378,WOLFE,MD,M,I,UPLAND,19013,PA,US,Orthopedic Surgery,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,180,142,180,109.77,0.79,150,0,82.53
1508934381,DUBYNE,D.P.M.,M,I,NORTH WARREN,163654639,PA,US,Podiatry,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,65,56,65,40.55,0,55,0,29.57
1912936824,STEFANOVIC,MD,F,I,NEW YORK,10023,NY,US,Psychiatry,Y,F,99231,"Subsequent hospital inpatient care, typically 15 minutes per day",N,78,21,78,40.3,0,135,0,32.24
1689614141,SHANLEY,MD,M,I,ROYAL OAK,480736712,MI,US,Vascular Surgery,Y,F,99231,"Subsequent hospital inpatient care, typically 15 minutes per day",N,73,55,73,40.1,0.63,76.44,1.25,32.08
1295745115,BHATTA,MD,F,I,SKOWHEGAN,49761146,ME,US,Obstetrics/Gynecology,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,35,35,35,151.39,0,226,0,121.11
1902834369,MICHAELIS,MD,M,I,BREWSTER,105094513,NY,US,Internal Medicine,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,795,253,795,73.29,0,132,0,52.22
1336214188,MARCHESE,D.C.,M,I,FRESNO,937107917,CA,US,Chiropractic,Y,O,98941,"Chiropractic manipulative treatment, 3 to 4 spinal regions",N,426,64,426,34.68,0,40.33,1.91,25.69
1457587172,BHARADWAJ,MD,M,I,CLEVELAND,441959297,OH,US,Internal Medicine,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,17,17,17,132.2,0,198.45,0,105.76
1699708925,WEIS MARKETS INC,O,O,O,ELMIRA,149012103,NY,US,Mass Immunization Roster Biller,Y,O,G0008,Administration of influenza virus vaccine,N,13,13,13,14.5,1.41,14.5,1.41,14.5
1346298569,RAVAKHAH,MD,M,I,CLEVELAND,441153176,OH,US,Internal Medicine,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,22,15,22,68.47,0,127,0,52.29
1811102734,GRANT,MD,M,I,ALABASTER,350078703,AL,US,Diagnostic Radiology,Y,F,71020,"X-ray of chest, 2 views, front and side",N,489,430,489,10.04,0,43,0,7.71
1346443652,SHAH,MD,F,I,SUWANEE,300249122,GA,US,Internal Medicine,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,346,146,346,70,0.26,180.71,3.41,55.67
1518999226,KAISSI,MD,M,I,NEDERLAND,776273949,TX,US,Internal Medicine,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,16,16,16,152.76,0,175,0,122.21
1053389734,VARNELL,MD,M,I,BLAIRSVILLE,30512,GA,US,Cardiology,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,55,46,55,127.51,0,249,0,95.44
1174545628,KASSIS,MD,M,I,FRENCHBURG,403228123,KY,US,Internal Medicine,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,62,62,62,97.28,0,110,0,65.09
1740255744,CALOMENI,MD,F,I,BEND,977016015,OR,US,Medical Oncology,Y,F,99231,"Subsequent hospital inpatient care, typically 15 minutes per day",N,52,27,52,36.71,0,97,0,28.96
1598713885,LAUCK,PA-C,M,I,BLOOMFIELD,687184408,NE,US,Physician Assistant,Y,O,85610,"Blood test, clotting time",N,308,55,308,5.56,0,7.16,2.13,5.56
1932381209,MITCHELL,MD,F,I,PHILADELPHIA,191045134,PA,US,Endocrinology,Y,F,99205,"New patient office or other outpatient visit, typically 60 minutes",N,16,16,16,170.91,0,248,0,136.73
1962494138,OSHAUGHNESSY,MD,M,I,FORT WAYNE,468451730,IN,US,Cardiology,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,76,74,76,67.02,0,106,0,53.62
1740283126,BUCKLEY,MD,M,I,HATTIESBURG,394021295,MS,US,Gastroenterology,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,72,69,69,126.37,0,165,0,96.16
1639356447,ABOU-RAYAN,MD,M,I,ROCKFORD,611033600,IL,US,Pulmonary Disease,Y,O,Q2038,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)",Y,11,11,11,12.74,0.63,20,0,12.74
1174523112,PARIS,MD,M,I,BERKELEY HTS,7922,NJ,US,Family Practice,Y,O,G0180,"Physician certification for medicare-covered home health  services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians to affirm the initial impl",N,12,12,12,59.14,0,60,0,47.31
1053497149,GONG,MD,M,I,BAD AXE,484139646,MI,US,General Surgery,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,34,33,34,130.77,0,174,0,104.62
1801995824,ROUBION-JOHNSON,DRNP,F,I,NEW ORLEANS,70112,LA,US,Nurse Practitioner,Y,F,99203,"New patient office or other outpatient visit, typically 30 minutes",N,17,17,17,62.88,0,124,0,50.3
1518942812,DIAZ,MD,M,I,CORAL GABLES,331343000,FL,US,Family Practice,Y,F,99239,"Hospital discharge day management, more than 30 minutes",N,37,34,37,111.8,0,210,0,89.44
1013957489,HODGINS LEVEY,N.P.,F,I,ROCHESTER,146264296,NY,US,Nurse Practitioner,Y,F,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,21,11,21,40.61,0,48,0.33,26.46
1720374663,BROWN,PA,M,I,HAYWARD,548435325,WI,US,Physician Assistant,Y,O,71020,"X-ray of chest, 2 views, front and side",N,41,36,41,19.47,0,94.98,1,15.2
1164455507,ASKARI,MD,F,I,ROLLING MEADOWS,60008,IL,US,Internal Medicine,Y,F,99291,"Critical care delivery critically ill or injured patient, first 30-74 minutes",N,34,15,34,236.89,0,417,0,189.51
1164420923,WILSON,MD,M,I,CORPUS CHRISTI,784043150,TX,US,Diagnostic Radiology,Y,F,73560,"X-ray of knee, 1 or 2 views",N,20,19,19,9.1,0,23.5,0,6.55
1073504056,KEFALAS,MD,M,I,AKRON,443204205,OH,US,Gastroenterology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,48,45,48,101.34,0,130,0,76.17
1568529006,PATEL,MD,M,I,MORRISTOWN,37814,TN,US,Cardiology,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,595,215,595,65.8,0,201.18,0.98,52.64
1912920125,NITTA,MD,M,I,FULLERTON,92835,CA,US,Family Practice,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,25,21,25,78.78,0,84,0,46.5
1700831047,ALIABADI,MD,M,I,DOTHAN,363013001,AL,US,Cardiology,Y,O,93306,"Ultrasound examination of heart including color-depicted blood flow rate, direction, and valve function",N,"1,027",923,"1,027",191.79,0,347,0,147.19
1043467145,WILSON,FNP,M,I,SAN ANTONIO,782562422,TX,US,Nurse Practitioner,Y,F,99284,"Emergency department visit, problem of high severity",N,26,26,26,94.78,0,502.62,116.2,72.72
1881874691,MATIAS,MD,F,I,NORTHRIDGE,913251600,CA,US,Infectious Disease,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,577,163,577,73.66,0.23,120,0,58.63
1881874436,BECKEL,ARNP,F,I,CLIVE,503257046,IA,US,Nurse Practitioner,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,309,210,309,82.19,0,229.99,0.17,60.6
1962428250,HUTCHINSON,MD,M,I,NEW HAVEN,65115210,CT,US,Rheumatology,Y,O,J3301,"Injection, triamcinolone  acetonide, not otherwise specified, 10 mg",Y,467,92,120,1.69,0.02,16,0,1.35
1871598425,WEST,PA,M,I,AUSTELL,301066810,GA,US,Physician Assistant,Y,O,96372,"Injection into tissue or muscle for therapy, diagnosis, or prevention",N,42,26,41,20.77,0,52,0,16.22
1053486530,MEDAPATI,MD,F,I,RHINEBECK,125723709,NY,US,Internal Medicine,Y,F,99231,"Subsequent hospital inpatient care, typically 15 minutes per day",N,164,107,164,39.23,0,99,0,31.19
1033192893,EKO-ISENALUMHE,MD,M,I,WINCHESTER,373982627,TN,US,Internal Medicine,Y,O,G0008,Administration of influenza virus vaccine,N,102,101,102,15,0,15,0,15
1477717379,YANCEY,MD,M,I,CHARLOTTE,282035812,NC,US,Internal Medicine,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,241,106,241,96.79,0,269,0,77.3
1285620195,KHOJA,MD,M,I,HEMET,925434428,CA,US,Cardiology,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,133,50,119,101.21,0,175,0,80.97
1427029263,WEINER,MD,M,I,BOSTON,21143117,MA,US,Internal Medicine,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,171,129,171,111.56,0,343.68,6.16,84.19
1215933700,TOKODI,D.O.,M,I,MARIETTA,457502123,OH,US,Orthopedic Surgery,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,76,76,76,102.18,1.29,189,0,71.56
1396799318,GEHRKEN,MD,M,I,MARTINSVILLE,241123700,VA,US,Urology,Y,O,76942,Ultrasonic guidance imaging supervision and interpretation for insertion of needle,N,23,20,23,199.94,0,296,0,159.95
1649224890,MATTHES,MD,F,I,LINCOLN,685165359,NE,US,Diagnostic Radiology,Y,F,73130,"X-ray of hand, minimum of 3 views",N,37,36,36,8.05,0,36,0,5.05
1295703189,DENAPOLI,D.O.,M,I,VACAVILLE,956884646,CA,US,Family Practice,Y,O,G0009,Administration of pneumococcal vaccine,N,18,18,18,28.75,0,81,0,28.75
1528025764,SUH,MD,M,I,CLEVELAND,441950001,OH,US,Radiation Oncology,Y,F,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,21,21,21,75.47,0,313,0,58.07
